
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
01 Medicine and dentistry,Postgraduate (taught),All,Northern Ireland,Male,2019/20,40
01 Medicine and dentistry,Postgraduate (taught),All,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),All,Northern Ireland,Total,2019/20,110
01 Medicine and dentistry,Postgraduate (taught),All,Northern Ireland,Female,2020/21,90
01 Medicine and dentistry,Postgraduate (taught),All,Northern Ireland,Male,2020/21,50
01 Medicine and dentistry,Postgraduate (taught),All,Northern Ireland,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (taught),All,Northern Ireland,Total,2020/21,140
01 Medicine and dentistry,Postgraduate (taught),Full-time,Northern Ireland,Female,2019/20,45
01 Medicine and dentistry,Postgraduate (taught),Full-time,Northern Ireland,Male,2019/20,25
01 Medicine and dentistry,Postgraduate (taught),Full-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),Full-time,Northern Ireland,Total,2019/20,70
01 Medicine and dentistry,Postgraduate (taught),Full-time,Northern Ireland,Female,2020/21,75
01 Medicine and dentistry,Postgraduate (taught),Full-time,Northern Ireland,Male,2020/21,40
01 Medicine and dentistry,Postgraduate (taught),Full-time,Northern Ireland,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (taught),Full-time,Northern Ireland,Total,2020/21,115
01 Medicine and dentistry,Postgraduate (taught),Part-time,Northern Ireland,Female,2019/20,25
01 Medicine and dentistry,Postgraduate (taught),Part-time,Northern Ireland,Male,2019/20,15
01 Medicine and dentistry,Postgraduate (taught),Part-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),Part-time,Northern Ireland,Total,2019/20,40
01 Medicine and dentistry,Postgraduate (taught),Part-time,Northern Ireland,Female,2020/21,15
01 Medicine and dentistry,Postgraduate (taught),Part-time,Northern Ireland,Male,2020/21,10
01 Medicine and dentistry,Postgraduate (taught),Part-time,Northern Ireland,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (taught),Part-time,Northern Ireland,Total,2020/21,25
01 Medicine and dentistry,Postgraduate (taught),All,Scotland,Female,2019/20,290
01 Medicine and dentistry,Postgraduate (taught),All,Scotland,Male,2019/20,165
01 Medicine and dentistry,Postgraduate (taught),All,Scotland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),All,Scotland,Total,2019/20,455
01 Medicine and dentistry,Postgraduate (taught),All,Scotland,Female,2020/21,340
01 Medicine and dentistry,Postgraduate (taught),All,Scotland,Male,2020/21,220
01 Medicine and dentistry,Postgraduate (taught),All,Scotland,Other,2020/21,5
01 Medicine and dentistry,Postgraduate (taught),All,Scotland,Total,2020/21,560
01 Medicine and dentistry,Postgraduate (taught),Full-time,Scotland,Female,2019/20,190
01 Medicine and dentistry,Postgraduate (taught),Full-time,Scotland,Male,2019/20,110
